EC,aet,continent,id,lat,lon,lower_depth,max_temp,min_temp,pet,upper_depth,wtd,year
1.7323529720306396,184.33333333333334,Northern America,11800,45.727207,-119.01524,40,186.75,52.666666666666664,1041.0833333333333,34.275707,62.59252166748047,1974
2.9490195,172.08333333333334,Asia,9123,15.011748,35.193344,40,375.1666666666667,202.33333333333334,1848.4166666666667,34.0809,27.825389862060547,1987
2.0999999046325684,294.4166666666667,Northern America,16181,24.356226,-104.3026,40,258.9166666666667,85.75,1316.5833333333333,37,93.9268798828125,1989
2.0411764999999997,134.16666666666666,Northern America,9351,40.79329,-118.80192,41,187.41666666666666,19,1117.0833333333333,37,4.876175880432129,1972
2.0519609451293945,613.6666666666666,Northern America,21176,25.35261,-99.20163,41,300.5,163.25,1298.75,32.794613,4.327953338623047,2004
1.5764704942703247,689.7300995024875,Northern America,10172,30.42757,-97.32523,43,262.9378109452736,137.02114427860695,1246.1504975124378,32.349174,13.031375885009766,1959
1.107843041419983,449.0833333333333,Europe,12343,46.640152,25.567728,43,103.41666666666667,8,483.9166666666667,33.530006,8.734180450439453,1974
2.901961088180542,93.41666666666667,Northern America,21364,37.616886,-118.00008,43,212.91666666666666,25.75,1326.3333333333333,39.39531,4.943170547485352,1986
2.0725491046905518,269.0833333333333,Northern America,21337,45.818542,-107.67314,43,173.25,2.25,960.5833333333334,37,37.817420959472656,1990
1.6176470518112183,396.5833333333333,Northern America,23032,21.192898,-99.861,43,260.25,98,1270.75,37,420.1387939453125,2002
2.6450979709625244,232.41666666666666,Northern America,12193,40.405766,-119.98794,44,174.66666666666666,8.416666666666666,946.6666666666666,37,16.08349609,1967
3.093137502670288,376,Oceania,24203,-35.2449,138.87914,44,215.16666666666666,102.58333333333333,1144.6666666666667,37,25.923444747924805,1993
1.3460785150527954,329.6666666666667,Northern America,18438,45.71066,-116.94688,45,123.33333333333333,-26.08333333,676.8333333333334,37,107.29444885253906,1960
1.5127450227737427,612.5833333333334,Northern America,22314,39.643654,-97.79117,45,177.58333333333334,45.583333333333336,980.5833333333334,34.0208,2.0312986373901367,1961
1.3156864643096924,354,Europe,11778,56.536728,29.814796,45,74.83333333333333,-16.16666667,436.0833333333333,35.65662,16.934524536132812,1969
2.037255048751831,616.25,Northern America,14789,23.31635,-106.42794,45,309.25,198.08333333333334,1301.25,34.660248,10.058408737182617,1996
2.5509804999999997,,Oceania,11768,-38.049892,140.51546,45,,,,33.505375,,2004
3.582353115081787,,Northern America,14572,25.566118,-112.560074,45,,,,35.624615,,2005
2.6039214999999998,198.87935323383084,Northern America,16667,43.848797,-113.50988,46,135.1355721393035,-30.24502488,784.3756218905472,32.410763,21.87550163269043,1957
1.3872549533843994,563.9203980099503,Northern America,12517,41.035404,-97.33073,46,167.2599502487562,41.08582089552239,903.002487562189,37,2.1212515830993652,1958
