EC,annual_mean_temp,annual_prec,clay_b60,continent,elevation,elevation_stdDev,fapar,id,lat,lon,lower_depth,ph_b60,sand_b60,slope,soilWater_b60,texture_b60,upper_depth,year
3.021568536758423,15657.667,364,38,Africa,279,0.9428090415820634,32,4660,12.751975,13.74258,69.25251,80,48,0.123665266,37,3,60,1971
3.3068625000000003,15439,567,20,Africa,363,2.3570226039551585,49,4940,12.399092,9.3364,89.567764,64,61,0.09986866,21,6,60,1971
1.3803919553756714,15424.333,1037,32,Africa,210,3.2998316455372216,89,5182,8.978225,13.993137,73.824,69,37,0.11189776,25,4,60,1971
3.2970590591430664,15555.333,439,57,Africa,275,5.185449728701348,41,5699,12.325584,13.954366,77.23982,74,26,0.31050187,59,1,60,1971
2.6480390000000003,15597.833,432,19,Africa,294,0,37,5967,12.252693,15.482132,96.96612,63,69,0,19,9,60,1971
2.8705879999999997,15580.167,438,21,Africa,294,0,38,6033,12.247219,15.338633,97.45366,62,66,0,21,6,60,1971
3.197058916091919,15554.917,445,64,Africa,286,1.662958838565764,41,6100,12.316064,14.050556,83.41074,72,19,0.25504082,55,1,60,1971
3.0999999999999996,15555,453,53,Africa,278,4.242640687119285,41,6299,12.229382,14.189476,77.74375,70,28,0.42129257,48,1,60,1971
3.244117498397827,15587.5,428,34,Africa,281,1.4142135623730951,39,6390,12.4260845,13.821323,93.0002,80,50,0.16993937,58,6,60,1971
3.1813725,15507.25,459,58,Africa,292,2.8284271247461903,42,6747,12.183684,14.061067,85.233444,68,25,0.19598702,56,1,60,1971
2.9147060000000002,15563.833,439,48,Africa,298,0.4714045207910317,39,7583,12.314569,14.820716,67.434875,71,32,0.3709912,34,1,60,1971
3.425489902496338,15584.083,425,45,Africa,283,3.4318767136623336,37,8272,12.382239,13.725833,93,77,27,0.34731233,75,1,60,1971
3.425489902496338,15602.917,429,43,Africa,277,2.4393887111210604,40,8761,12.359536,13.752155,99.87341,76,32,0.3522304,66,1,60,1971
3.3313724994659424,15511.833,453,62,Africa,276,4.714045207910317,42,8818,12.217916,14.081422,98,70,22,0.39197457,50,1,60,1971
2.0843135,15480.917,828,35,Africa,351,13.833221775543139,68,8866,10.459696,17.78533,94.80999,65,43,1.2863173,37,4,77,1971
3.5509805,15590.417,446,47,Africa,292,4.242640687119285,42,8968,12.2731905,13.910626,98.68213,74,36,0.2782451,52,1,90,1971
2.9931375,15570.5,300,34,Africa,83,3.7712361663282534,54,9306,0.49969995,40.738144,88,77,50,0.111473285,20,6,74,1971
1.7225489999999999,15292.667,378,23,Africa,919,11.313708498984761,57,11495,-23.165716,29.07015,78.86041,66,68,1.4523876,11,6,60,1971
2.7666665,15596.333,409,16,Africa,292,0,36,11547,12.365902,15.554084,96,68,76,0,24,9,74,1971
2.8294119834899902,15443.083,541,41,Africa,298,0,48,15398,11.751885,14.813151,94.36162,65,39,0.070318095,48,1,66,1971
3.3941175,15576.833,440,65,Africa,275,5.526591162420265,41,15731,12.325465,13.909005,96,74,20,0.15458144,60,1,75,1971
3.2529408931732178,15699.417,366,38,Africa,276,1.8856180831641267,32,16301,12.683162,13.794966,98,78,41,0.12766084,43,4,60,1971
2.2568625,15290.5,381,23,Africa,833,5.0723165380104565,56,16786,-23.643166,27.802536,67.81726,68,67,0.030916361,10,6,60,1971
2.7666665,15580,408,14,Africa,304,0.49690399500284566,34,21315,12.333632,12.943975,68.13274,62,77,0.07043969,20,9,60,1971
3.3627450466156006,15621.417,410,43,Africa,280,0,37,22533,12.495417,13.956431,88,79,33,0.04425593,57,1,60,1971
3.127450942993164,15449.75,562,17,Africa,351,0.4714045207910317,49,22648,12.242638,10.108537,63.352394,65,69,0.06327237,19,9,60,1971
1.178431510925293,15115.5,1400,36,Africa,950,25.92724864350674,144,23988,7.6384826,13.873613,95.380005,57,40,5.0290775,35,4,60,1971
2.6480390000000003,14996.083,436,23,Africa,1290,199.13597315017975,67,4604,-32.225727,24.409716,94.46812,72,53,4.551195,23,6,60,1972
2.704901933670044,15437.333,403,24,Africa,655,15.497510751929392,55,4881,-21.639273,29.444054,93.66706,74,66,1.1557738,16,6,60,1972
3.457843065261841,15415,437,17,Africa,958,3.7712361663282534,65,7328,-20.207945,21.851469,76.87878,68,77,0.09883552,19,9,60,1972
1.8862744999999999,15281.917,393,21,Africa,1173,2.199887763701934,61,18161,-22.699429,26.059519,96.67452,66,69,0.33890456,14,6,60,1972
1.6093552112579346,15613.583,8,0,Africa,370,0,-32768,175,18.62744,19.978577,60.014076,81,99,0.4337484,1,12,60,1973
1.6254899501800537,15260.833,1207,39,Africa,1258,3.8873012632302,155,327,-1.199837,34.175156,64.76273,61,44,0.51834285,23,4,60,1973
1.5735294999999998,15245.5,752,45,Africa,972,0,112,373,-0.6778202,37.73806,87.672104,56,41,1.7292274,26,1,60,1973
2.5196080207824707,14750,305,18,Africa,2612,57.982756057296896,57,397,31.89828,-5.4616404,75.01701,81,47,3.7157974,11,7,60,1973
1.4176470041275024,14972.583,1106,42,Africa,1363,0,142,440,-10.519515,26.605446,64.1471,53,43,7.4503865,18,1,60,1973
3.1529409999999998,15356.25,482,21,Africa,1519,0,64,697,-20.247438,16.962038,64.24496,76,69,0.8450231,16,6,60,1973
1.2813725471496582,15158.583,1187,34,Africa,858,3.7712361663282534,156,732,-15.442602,36.679993,68.225464,55,55,4.8518558,23,6,60,1973
2.3264705,15273.5,880,39,Africa,927,41.012193308819754,88,809,9.851308,37.756115,68.36448,71,37,2.706101,30,4,60,1973
1.194117546081543,15022.667,1841,47,Africa,1969,0,144,856,0.2386904,35.1959,89.09063,57,28,0.48390698,39,1,60,1973
1.657842993736267,14932.167,791,29,Africa,1816,18.384776310850235,80,3157,-29.040205,27.940859,89.02658,65,49,7.975317,19,6,60,1973
1.8176469802856445,15037.75,1082,39,Africa,1591,9.899494936611665,172,5539,-2.248748,29.711018,75.429474,52,41,1.8342415,25,4,60,1973
2.532352924346924,15663.917,166,20,Africa,992,2.3570226039551585,9,7035,-25.383938,17.605484,73.56855,89,58,0.53912586,12,9,60,1973
3.3470590114593506,15381.583,488,20,Africa,1210,4.642796092394707,70,11800,-19.416859,19.625282,88.119995,68,71,0.06555977,15,6,75,1973
2.7705879999999996,15496.583,405,13,Africa,229,0,20,12135,13.644423,3.935351,98,54,77,0.0318144,14,9,66,1973
2.4852941036224365,15422.167,303,19,Africa,1436,0,34,12350,-22.92043,18.063026,96,79,72,0.5714511,17,9,80,1973
1.4264705181121826,15043.25,1324,74,Africa,1416,0,147,12698,-0.42211267,37.613197,77.10507,55,9,1.8140503,35,1,60,1973
3.147639036178589,15357.917,401,16,Africa,1235,0.9428090415820634,60,14347,-21.780846,20.815128,87,71,76,0.13630116,15,9,63,1973
2.1686275005340576,15311.75,351,14,Africa,1108,3.2998316455372216,54,16072,-23.670818,23.457684,88.418495,68,82,0.2373063,20,9,69,1973
1.2117644548416138,15325,1302,22,Africa,157,0.7370277311891138,142,17520,-17.436438,-55.533833,67.555786,55,67,0.10201419,29,6,60,1973
1.0421570539474487,14996,2256,39,Africa,591,8.013876853447538,177,19694,6.410947,9.914426,85.10547,54,37,0.34149605,48,4,65,1973
1.8480390310287476,15407.167,724,42,Africa,1523,1.8856180831641267,79,125,-2.336605,35.007935,66.75531,78,38,0.29183656,23,1,60,1974
1.1362744999999999,15106.25,1359,32,Africa,575,5.185449728701348,200,386,4.7787795,17.908459,69.50025,55,49,1.416823,41,6,60,1974
1.8970589637756348,15443.917,815,39,Africa,1195,15.556349186104045,109,581,-3.3205674,33.08208,78.26651,69,43,1.1185704,25,4,60,1974
2.0607845,15179.25,590,29,Africa,1249,0,85,3792,-24.819271,26.928427,97.33471,68,60,1.4852157,16,6,60,1974
2.2254899999999997,15408.25,851,41,Africa,1357,9.154368855130292,99,10127,-2.5169842,34.301533,61.078278,71,38,1.7393285,28,1,60,1974
3.425489902496338,15112.5,182,17,Africa,887,0,14,14061,-33.08034,21.005663,81.056046,80,67,3.5576882,8,9,64,1974
1.2862745,14852.917,1513,40,Africa,1559,88.35408561263279,200,17361,6.976724,36.65058,93,56,38,9.951514,46,4,80,1974
1.94343217,15301.333,1012,32,Africa,1349,15.084944665313014,145,17918,-1.8803563,34.208378,96,64,56,1.775844,18,6,60,1974
2.0607845,15270.167,625,35,Africa,1001,2.8284271247461903,87,21100,6.235444,40.255104,87.46392,71,43,1.0834795,33,4,79,1974
1.91372549533844,15457.833,771,46,Africa,1765,7.542472332656507,100,22175,8.578741,40.85026,98,79,31,1.2272761,33,1,60,1974
1.9000000000000001,15052.667,669,37,Africa,1553,24.454038521274967,82,692,-27.156492,28.239782,88.746544,66,51,1.927391,24,3,60,1975
1.299019455909729,15255.167,1507,44,Africa,1221,0.4714045207910317,192,2860,-0.08821487,34.20673,87.36461,61,40,0.06913112,27,1,60,1975
1.280392050743103,14854.5,941,32,Africa,2126,94.29504523332896,124,2892,-30.111149,29.365324,84.29843,57,39,11.020013,26,4,60,1975
1.6441175000000001,15292.25,682,44,Africa,1645,1.8856180831641267,65,4522,-2.790497,34.93728,72.8252,75,29,0.47345737,21,1,60,1975
1.5441174507141113,15400,807,43,Africa,1719,0.4714045207910317,76,4843,-3.3563592,34.936806,97.885735,68,36,0.44277966,23,1,60,1975
1.892156958580017,15248.417,986,36,Africa,1530,0.9428090415820634,141,6989,-1.7067099,34.722565,91.9082,60,50,0.12752432,18,3,60,1975
1.6813725233078003,15347.75,654,39,Africa,1652,2.2333056935618267,58,7010,-2.9224153,34.966805,66.89947,83,30,0.32888404,23,4,60,1975
1.9399543000000001,15358,701,38,Africa,1626,2.3570226039551585,77,8142,-2.8495016,34.863438,83.47009,79,34,0.33333015,22,4,60,1975
1.462744951248169,14487.833,784,26,Africa,456,31.584102892999123,179,10389,-37.63352,146.90276,72.681564,56,56,2.3568316,32,6,60,1975
3.3225491046905518,15339.75,487,30,Africa,900,0,62,12562,-20.661821,25.40271,82.2163,78,59,0,29,6,60,1975
1.8460785150527954,15323.417,708,42,Africa,1669,0.4714045207910317,62,13491,-2.5875444,35.032364,93,75,35,0.06914517,28,1,75,1975
1.5205880403518677,14941.583,706,31,Africa,1840,34.883934538536344,94,17346,-27.907215,29.329655,98,61,56,5.051372,20,6,76,1975
1.9666664600372314,15299.167,711,32,Africa,1399,13.638181696985855,99,19191,-4.3418927,34.64114,98,62,56,0.9109475,17,6,82,1975
1.7166664600372314,15037.333,1697,57,Africa,1772,0,151,21619,-0.46180695,35.154,93,56,18,0.8167519,35,1,62.1498,1975
1.9196079969406128,15053,640,42,Africa,1862,6.701759488902712,57,23426,-2.310985,35.531696,61.402756,61,37,1.4183023,33,1,60,1975
1.2813725471496582,14847.083,1360,47,Africa,790,0,154,19,-9.411386,35.339203,78.27871,55,32,1.497364,50,1,60,1976
1.7666665000000001,15023.583,1776,54,Africa,1865,4.714045207910317,149,304,-0.43270946,35.19464,65.65798,56,20,0.98585474,38,1,60,1976
1.87110135,15035.667,667,33,Africa,1638,32.99831645537222,79,1558,-28.246948,27.826603,85.828575,65,54,0.6247679,23,6,60,1976
2.2941174507141113,15400.25,815,49,Africa,1700,0.4714045207910317,75,1880,-3.2937915,34.939835,70.61866,69,31,0.57539165,25,1,60,1976
2.8607845306396484,15408.667,919,39,Africa,1236,7.360220071860544,122,2270,-2.7581866,33.635006,98.1808,67,49,1.0944868,17,3,60,1976
1.8460785150527954,15322.75,1054,46,Africa,1410,14.967454404747945,154,2867,-1.7834519,34.22429,82.00978,70,36,1.8945149,23,1,60,1976
1.7323529720306396,15365.75,748,40,Africa,1567,3.7712361663282534,87,3286,-2.1190379,35.007526,77.581566,72,39,1.7334366,22,4,60,1976
1.7823530435562134,15380.833,743,41,Africa,1542,14.613540144521982,92,3864,-2.1981509,35.00032,88.18733,73,39,1.5761944,23,1,60,1976
2.8803919999999996,15199.75,370,28,Africa,1303,4.242640687119285,33,4212,-30.756298,24.79504,80.76382,86,52,0.94999087,14,6,60,1976
1.4058825000000001,14998,1716,39,Africa,435,0,217,5095,0.68506545,23.271847,95.783966,51,49,0,23,3,60,1976
1.0892155170440674,15067.5,1206,34,Africa,795,25.45584412271571,148,5661,6.1647215,15.913165,61.71002,52,45,3.3871517,31,6,60,1976
1.8568625450134277,15008.333,1177,48,Africa,1828,4.714045207910317,159,6355,-1.2247242,34.93087,82.00311,55,37,0.6573277,31,1,60,1976
1.9127449989318848,15456.833,824,38,Africa,1262,6.599663291074443,107,6619,-2.3194597,34.243687,92.668564,71,42,0.68105614,21,4,60,1976
1.7617645263671875,15223.667,592,35,Africa,297,0,54,7990,12.652984,5.9115458,75.893135,62,42,0.20843518,29,4,60,1976
1.8411765098571777,15385.917,693,39,Africa,1728,4.242640687119285,60,14309,-2.3638003,35.199543,98,77,41,0.68680567,22,4,60,1976
1.8127449750900269,15077.917,986,41,Africa,588,26.870057685088806,169,18162,-5.6564274,38.044857,78.93195,55,43,3.1573315,35,1,60,1976
1.9745099544525146,15269.583,846,43,Africa,1529,5.185449728701348,110,23031,-1.8805104,34.96571,89.18636,68,36,0.6185162,26,1,68,1976
2.726470470428467,15483.417,214,14,Africa,1158,0.566557723651355,20,292,-24.93185,18.57608,65.5251,84,73,0.061832704,12,9,60,1977
2.302941083908081,15335.083,460,31,Africa,530,1.8856180831641267,77,309,-21.389013,30.551243,61.543884,71,60,0.71873677,17,6,60,1977
1.693137526512146,15388.583,792,40,Africa,1647,7.118052168020874,69,1771,-3.3256416,34.857346,74.60131,68,34,1.0170413,27,1,60,1977
1.7431374788284302,14923.833,1021,45,Africa,1940,12.727922061357855,128,2086,-3.89767,35.55833,61.87593,56,34,2.2429204,36,1,60,1977
1.5598039627075195,15100,2586,33,Africa,32,0,180,2787,5.56095,6.0241485,90.06572,51,49,0.043825887,28,6,60,1977
