X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-118.4925003,47.1172218,86.0,104.0,0.5,US-NCSS,Northern America,Northern America,Unknown
-106.7259979,47.9868851,25.0,74.0,6.4,US-NCSS,Northern America,Northern America,Unknown
11.05000019,37.06666946,40.0,70.0,0.4,TN-SOTER,Northern Africa,Africa,Unknown
-100.0378395,40.6449185,86.0,121.0,0.4,US-NCSS,Northern America,Northern America,Unknown
-111.1869809,24.21875826,44.0,84.0,20.0,MX-INEGI,Central America,Northern America,Unknown
-118.9852753,35.1955566,51.0,73.0,1.2,US-NCSS,Northern America,Northern America,Unknown
-80.9,-6.019722222,0.0,85.0,4.0,LAC-SOTER,South America,South America,Unknown
-99.5362473,48.3055267,46.0,81.0,16.3,US-NCSS,Northern America,Northern America,Unknown
-89.65817388,22.37074467,59.0,81.0,1.9,MX-INEGI,Central America,Northern America,Unknown
144.529728,-20.87640246,4.0,65.0,0.1,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-117.9671631,45.2643051,81.0,102.0,1.0,US-NCSS,Northern America,Northern America,Unknown
-112.4119568,43.4132423,66.0,111.0,0.9,US-NCSS,Northern America,Northern America,Unknown
-75.19972222,20.2,80.0,100.0,0.2,CU-SOTER,Caribbean,Northern America,Unknown
-113.4228102,27.74912165,69.0,93.0,8.0,MX-INEGI,Central America,Northern America,Unknown
-105.9426932,28.97397027,71.0,89.0,0.2,MX-INEGI,Central America,Northern America,Unknown
39.833333,-3.616667,63.0,98.0,0.0,WD-WISE,Eastern Africa,Africa,Unknown
-115.6037521,46.3290825,53.0,109.0,0.2,US-NCSS,Northern America,Northern America,Unknown
-103.2750969,22.05058154,94.0,120.0,2.0,MX-INEGI,Central America,Northern America,Unknown
-0.0769444,6.1358333,61.0,88.0,0.6,US-NCSS,Western Africa,Africa,Unknown
26.5,56.59972222,80.0,150.0,0.0,EU-SOTER,Northern Europe,Europe,Unknown
-99.79524866,23.03571528,60.0,110.0,20.6,MX-INEGI,Central America,Northern America,Unknown
-108.2942886,39.9224701,94.0,119.0,2.5,US-NCSS,Northern America,Northern America,Unknown
-97.4110632,48.2787131,60.0,90.0,0.6,US-NCSS,Northern America,Northern America,Unknown
-123.0477753,48.4850006,94.0,119.0,0.3,US-NCSS,Northern America,Northern America,Unknown
-116.8730545,32.5699997,58.0,79.0,1.3,US-NCSS,Northern America,Northern America,Unknown
-103.2252808,29.3658333,71.0,101.0,1.2,US-NCSS,Northern America,Northern America,Unknown
36.7333336,31.7666664,62.0,84.0,10.8,US-NCSS,Western Asia,Asia,Unknown
-80.25,21.92,48.0,75.0,0.1,CU-SOTER,Caribbean,Northern America,Unknown
-107.9293756,24.65110635,85.0,110.0,0.0,MX-INEGI,Central America,Northern America,Unknown
-108.4014511,32.1229095,59.0,99.0,6.2,US-NCSS,Northern America,Northern America,Unknown
-95.32708413,18.1157699,92.0,125.0,0.0,MX-INEGI,Central America,Northern America,Unknown
-103.2535034,22.96648553,66.0,100.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-117.7722244,38.7022209,28.0,86.0,1.2,US-NCSS,Northern America,Northern America,Unknown
17.9506,-19.625,74.0,120.0,10.6,NA-NAMSOTER,Southern Africa,Africa,Unknown
-114.3977814,47.4752769,86.0,119.0,4.2,US-NCSS,Northern America,Northern America,Unknown
-105.9565319,27.2778264,54.0,77.0,0.1,MX-INEGI,Central America,Northern America,Unknown
140.8082318,-36.99907553,95.0,130.0,0.6,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-94.64760368,18.06739951,44.0,72.0,0.0,MX-INEGI,Central America,Northern America,Unknown
-98.7080536,37.8258324,57.0,78.0,0.1,US-NCSS,Northern America,Northern America,Unknown
1.862778,13.62,50.0,95.0,1.0,AF-AfSP,Western Africa,Africa,Unknown
-110.3098907,41.2798042,64.0,89.0,4.2,US-NCSS,Northern America,Northern America,Unknown
-102.2453889,38.0553889,86.0,120.0,6.0,US-NCSS,Northern America,Northern America,Unknown
-98.8408356,40.7283325,86.0,117.0,1.4,US-NCSS,Northern America,Northern America,Unknown
139.5684573,-33.87529407,55.0,90.0,8.9,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
20.40638889,41.69277778,61.0,91.0,0.0,WD-WISE,Southern Europe,Europe,Unknown
-104.246109,47.7688904,61.0,93.0,0.5,WD-WISE,Northern America,Northern America,Unknown
-75.6329956,37.690464,86.0,117.0,0.0,US-NCSS,Northern America,Northern America,Unknown
14.174149,12.277383,15.0,65.0,0.9,AF-AfSP,Western Africa,Africa,Unknown
-102.0859947,25.17548193,95.0,125.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-101.3414534,19.64516782,75.0,100.0,0.0,MX-INEGI,Central America,Northern America,Unknown
-98.3805542,44.791111,51.0,71.0,0.8,US-NCSS,Northern America,Northern America,Unknown
-100.7847991,26.39820985,47.0,72.0,8.9,MX-INEGI,Central America,Northern America,Unknown
-103.1763889,37.4812778,74.0,99.0,0.7,US-NCSS,Northern America,Northern America,Unknown
-102.6399994,43.2994461,79.0,109.0,0.8,US-NCSS,Northern America,Northern America,Unknown
140.4293137,-35.4369637,93.0,125.0,0.4,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-109.7026222,26.79319387,38.0,100.0,3.0,MX-INEGI,Central America,Northern America,Unknown
-105.2084096,23.8582951,49.0,79.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-116.3553925,45.5114174,95.0,162.0,0.2,US-NCSS,Northern America,Northern America,Unknown
158.2141724,6.9552779,66.0,102.0,0.0,WD-WISE,Micronesia,Oceania,Unknown
-120.9386139,36.981945,76.0,110.0,1.3,US-NCSS,Northern America,Northern America,Unknown
-115.31353,46.067112,41.0,112.0,0.1,US-NCSS,Northern America,Northern America,Unknown
-119.9610443,41.8929176,65.0,75.0,1.6,US-NCSS,Northern America,Northern America,Unknown
-57.5,-32.0,19.0,65.0,0.3,WD-WISE,South America,South America,Unknown
-104.754952,24.32495515,89.0,109.0,0.0,MX-INEGI,Central America,Northern America,Unknown
-103.3208333,37.6391667,56.0,98.0,9.8,US-NCSS,Northern America,Northern America,Unknown
35.183333,-4.447222,33.0,70.0,0.2,WD-WISE,Eastern Africa,Africa,Unknown
-104.3261108,31.8833332,47.0,90.0,2.4,US-NCSS,Northern America,Northern America,Unknown
-99.8450012,44.5058327,53.0,69.0,7.3,US-NCSS,Northern America,Northern America,Unknown
-116.077774,42.9402771,73.0,106.0,7.1,US-NCSS,Northern America,Northern America,Unknown
