X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-112.373343,30.73660629,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2004
-99.60123096,23.62648324,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-110.1264436,28.98848748,25.0,45.0,0.1,MX-INEGI,Central America,Northern America,2005
-98.86919075,25.19080493,20.0,60.0,25.0,MX-INEGI,Central America,Northern America,Unknown
-96.18132575,18.18331405,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-104.4668444,20.9531767,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,1990
1.738889,13.109167,20.0,60.0,0.1,AF-AfSP,Western Africa,Africa,Unknown
-116.0463571,32.17078852,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-105.8999629,25.22933786,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-101.442711,20.91728314,0.0,20.0,0.2,MX-INEGI,Central America,Northern America,2003
19.50972222,42.09194444,25.0,45.0,0.1,WD-WISE,Southern Europe,Europe,1994
-101.3389969,36.1328049,0.0,20.0,0.8,US-NCSS,Northern America,Northern America,2009
-112.3878727,29.51326118,0.0,20.0,5.0,MX-INEGI,Central America,Northern America,Unknown
35.5,-4.633333,0.0,20.0,5.4,AF-AfSP,Eastern Africa,Africa,1983
-106.0287597,27.70243922,0.0,20.0,0.3,MX-INEGI,Central America,Northern America,2004
-5.316667,9.65,10.0,70.0,0.0,AF-AfSP,Western Africa,Africa,Unknown
-96.0086944,40.518,0.0,20.0,0.6,US-NCSS,Northern America,Northern America,1981
-100.7397222,48.8211111,0.0,20.0,0.6,US-NCSS,Northern America,Northern America,Unknown
-109.4071262,28.86339653,0.0,20.0,0.2,MX-INEGI,Central America,Northern America,2005
39.87972,-14.26472,0.0,20.0,0.4,SAF-SOTER,Eastern Africa,Africa,1994
-102.0456377,26.47388701,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2005
-105.1111226,24.35630877,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-97.5572662,39.6838036,0.0,20.0,3.5,US-NCSS,Northern America,Northern America,2000
-102.3965433,20.706913,0.0,20.0,2.0,MX-INEGI,Central America,Northern America,1977
-109.4586737,31.04538124,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-112.9939856,30.81304716,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
