X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-111.9199982,43.0974998,18,30,0.4,US-NCSS,Northern America,Northern America,1964
-115.8299473,30.42259803,0,15,0.1,MX-INEGI,Central America,Northern America,2004
-114.150286,28.80637899,25,35,3.0,MX-INEGI,Central America,Northern America,2004
9.5,4.666667,24,62,0.0,AF-AfSP,Middle Africa,Africa,Unknown
-104.5053119,27.07126137,0,17,1.0,MX-INEGI,Central America,Northern America,1996
-109.2422104,48.8271484,18,30,8.8,US-NCSS,Northern America,Northern America,1962
-89.83333333,15.8,0,11,0.1,WD-WISE,Central America,Northern America,1983
138.2996475,-33.74538161,18,40,0.8,AU-CSIRO,Australia and New Zealand,Oceania,1991
35.833333,-1.1,20,60,0.1,WD-WISE,Eastern Africa,Africa,Unknown
-75.4415665,37.9891243,15,51,60.0,US-NCSS,Northern America,Northern America,2009
15.79889965,-17.68479919,0,31,2.2,NA-NAMSOTER,Southern Africa,Africa,Unknown
-120.0129157,36.5505023,0,22,2.8,US-NCSS,Northern America,Northern America,1994
-99.4166641,44.6875,0,18,1.3,US-NCSS,Northern America,Northern America,1989
1.489167,14.156389,0,12,0.1,WD-WISE,Western Africa,Africa,Unknown
144.3391408,-21.0921465,4,100,9.1,AU-CSIRO,Australia and New Zealand,Oceania,2002
75.8138885,22.7263889,12,29,0.1,WD-WISE,Southern Asia,Asia,1982
40.4,37.93333333,0,18,0.4,WD-WISE,Western Asia,Asia,1972
-108.7126541,41.6160622,5,18,0.6,US-NCSS,Northern America,Northern America,1976
18.627778,4.588889,26,52,0.1,WD-WISE,Middle Africa,Africa,1969
-97.5109338,48.3514454,30,60,0.7,US-NCSS,Northern America,Northern America,2008
34.85,29.6,5,10,13.2,WD-WISE,Northern Africa,Africa,1981
-104.3587336,27.10501899,0,20,1.0,MX-INEGI,Central America,Northern America,Unknown
-98.0880585,28.1094437,0,15,1.2,US-NCSS,Northern America,Northern America,1991
15.875,-17.64039993,0,28,4.0,NA-NAMSOTER,Southern Africa,Africa,Unknown
-102.8458333,46.3613889,15,38,0.2,US-NCSS,Northern America,Northern America,Unknown
-99.77123659,18.93320053,0,27,1.0,MX-INEGI,Central America,Northern America,Unknown
-104.3533053,19.20109371,23,56,0.0,MX-INEGI,Central America,Northern America,1999
31.666666,-18.25,11,30,0.0,WD-WISE,Eastern Africa,Africa,1986
-73.34444444,-3.897777778,0,8,0.1,WD-WISE,South America,South America,1991
-101.3062795,21.07677423,12,46,0.1,MX-INEGI,Central America,Northern America,2003
-99.60165261,25.06148437,0,15,1.0,MX-INEGI,Central America,Northern America,Unknown
-115.9865833,43.1394444,5,15,0.7,US-NCSS,Northern America,Northern America,Unknown
-102.7574997,41.9355545,0,10,1.8,US-NCSS,Northern America,Northern America,1978
36.683333,-1.25,15,30,0.1,WD-WISE,Eastern Africa,Africa,1973
-96.1705639,40.0654889,30,51,0.3,US-NCSS,Northern America,Northern America,1958
140.108503,-36.14908115,24,30,10.5,AU-CSIRO,Australia and New Zealand,Oceania,2003
128.848377,-15.424554,0,50,0.1,AU-CSIRO,Australia and New Zealand,Oceania,2010
-118.9407272,39.46131134,0,5,4.5,US-NCSS,Northern America,Northern America,1999
33.39667,-19.1725,25,70,0.1,SAF-SOTER,Eastern Africa,Africa,1994
-100.066391,33.0683327,0,20,0.6,US-NCSS,Northern America,Northern America,1980
-105.3505277,25.06081975,0,32,1.0,MX-INEGI,Central America,Northern America,Unknown
9.033333333,52.5,8,18,0.1,WD-WISE,Western Europe,Europe,1966
-98.4394455,34.540554,10,32,2.4,US-NCSS,Northern America,Northern America,1997
-89.1244431,36.0200005,0,18,0.9,US-NCSS,Northern America,Northern America,1985
-108.9604735,30.68886305,25,40,0.1,MX-INEGI,Central America,Northern America,2003
-108.6932067,26.3734534,0,25,2.5,MX-INEGI,Central America,Northern America,1982
-56.83333333,-34.08333333,0,16,0.1,WD-WISE,South America,South America,Unknown
-111.219069,29.38160293,19,49,2.0,MX-INEGI,Central America,Northern America,1983
40.0,-3.117778,0,22,0.1,WD-WISE,Eastern Africa,Africa,1980
128.6875,37.7063904,29,45,0.1,WD-WISE,Eastern Asia,Asia,1985
-108.8294449,37.0991669,8,25,1.1,US-NCSS,Northern America,Northern America,1999
100.6222222,6.738888889,0,11,0.0,WD-WISE,South-Eastern Asia,Asia,Unknown
-113.7546744,29.00374824,30,50,0.1,MX-INEGI,Central America,Northern America,2004
39.811862,8.961128,0,20,0.1,AF-AfSP,Eastern Africa,Africa,1997
-111.855835,42.0175018,0,16,0.6,US-NCSS,Northern America,Northern America,1989
-98.9736099,41.0761108,0,20,1.7,US-NCSS,Northern America,Northern America,1985
-99.81223285,20.90663897,0,19,1.0,MX-INEGI,Central America,Northern America,1982
-103.2161111,46.9205556,25,33,0.6,US-NCSS,Northern America,Northern America,Unknown
-106.4739515,29.09215461,18,35,0.1,MX-INEGI,Central America,Northern America,2003
-107.8886795,38.6225201,20,33,11.8,US-NCSS,Northern America,Northern America,2013
-104.0358353,47.6505547,19,28,0.6,US-NCSS,Northern America,Northern America,1995
-99.8191681,43.7019463,8,23,1.1,US-NCSS,Northern America,Northern America,1982
21.1166668,47.3166656,2,13,1.8,US-NCSS,Eastern Europe,Europe,1988
-104.8737659,25.8932994,24,37,0.1,MX-INEGI,Central America,Northern America,2005
128.810442,-15.457532,30,130,9.7,AU-CSIRO,Australia and New Zealand,Oceania,2010
35.45,-4.616667,0,10,4.3,AF-AfSP,Eastern Africa,Africa,1983
-100.9952774,46.7449989,0,5,0.9,US-NCSS,Northern America,Northern America,1997
33.73139,-19.0825,20,60,0.1,SAF-SOTER,Eastern Africa,Africa,1994
-111.2655563,38.8588905,6,18,1.2,US-NCSS,Northern America,Northern America,1990
28.29,47.22,0,1,0.0,EU-SOTER,Eastern Europe,Europe,1987
-119.2516632,39.9527779,15,30,26.3,US-NCSS,Northern America,Northern America,1981
-113.1327829,27.69319798,0,26,1.0,MX-INEGI,Central America,Northern America,Unknown
-102.1675139,37.7314472,30,46,0.8,US-NCSS,Northern America,Northern America,2008
-112.1233749,45.8582344,0,3,22.3,US-NCSS,Northern America,Northern America,1990
-95.6471024,36.3610344,0,8,0.8,US-NCSS,Northern America,Northern America,2007
-105.13324,29.06340986,0,14,0.2,MX-INEGI,Central America,Northern America,2003
23.636667,-19.766111,15,55,0.3,SAF-SOTER,Southern Africa,Africa,1985
139.62304,-35.39439674,0,9,25.0,AU-CSIRO,Australia and New Zealand,Oceania,1993
140.6939742,-36.52344279,11,21,0.3,AU-CSIRO,Australia and New Zealand,Oceania,1996
-111.79101,25.52014758,14,42,1.0,MX-INEGI,Central America,Northern America,Unknown
-106.6490962,26.52437273,13,25,0.1,MX-INEGI,Central America,Northern America,2004
138.5505076,-35.18134586,15,30,0.5,AU-CSIRO,Australia and New Zealand,Oceania,1995
-78.038887,-0.4166667,25,57,0.1,WD-WISE,South America,South America,1983
-114.0696801,28.59848963,12,25,6.5,MX-INEGI,Central America,Northern America,2004
-119.8125,47.9091682,0,18,1.3,US-NCSS,Northern America,Northern America,1990
137.3690133,-35.84458613,11,28,0.7,AU-CSIRO,Australia and New Zealand,Oceania,1995
23.25,-15.25,0,9,0.1,WD-WISE,Eastern Africa,Africa,1984
-96.7663879,36.0933342,15,56,0.4,US-NCSS,Northern America,Northern America,1956
-64.7913895,17.7227783,30,41,0.8,US-NCSS,Caribbean,Northern America,1992
-83.651268,43.523613,0,25,1.0,US-NCSS,Northern America,Northern America,1981
-101.9694742,24.83752881,15,52,5.7,MX-INEGI,Central America,Northern America,2004
146.1263813,-24.1654921,0,60,0.2,AU-CSIRO,Australia and New Zealand,Oceania,2002
14.74009991,-17.62459946,0,20,1.3,NA-NAMSOTER,Southern Africa,Africa,Unknown
-101.6842499,37.3431931,0,10,0.5,US-NCSS,Northern America,Northern America,1999
31.775,-27.92167,0,35,0.9,ZA-SOTER,Southern Africa,Africa,1981
-112.4430542,38.9799995,23,35,0.9,US-NCSS,Northern America,Northern America,1990
-115.722,36.2895556,3,9,1.2,US-NCSS,Northern America,Northern America,2004
-100.0519409,37.5755539,16,29,1.4,US-NCSS,Northern America,Northern America,2005
-113.0042696,31.65370149,24,48,2.0,MX-INEGI,Central America,Northern America,1979
-97.76457468,25.88338983,0,25,0.2,MX-INEGI,Central America,Northern America,2005
115.768034,-33.350861,10,20,2.8,AU-CSIRO,Australia and New Zealand,Oceania,1988
-98.1967661,37.9126838,0,15,2.1,US-NCSS,Northern America,Northern America,1985
-92.72931845,16.4119623,0,16,1.0,MX-INEGI,Central America,Northern America,Unknown
-97.2777786,35.7386093,9,20,0.5,US-NCSS,Northern America,Northern America,1991
-114.6381302,43.2754478,8,23,5.4,US-NCSS,Northern America,Northern America,1975
101.7247222,17.59805556,30,100,0.0,WD-WISE,South-Eastern Asia,Asia,Unknown
-108.8137436,39.366642,7,30,0.6,US-NCSS,Northern America,Northern America,Unknown
-120.6979752,35.32941437,3,20,0.7,US-NCSS,Northern America,Northern America,1993
-97.4728775,47.1335907,30,61,1.1,US-NCSS,Northern America,Northern America,1988
-43.60128021,-22.95256805,10,35,0.1,WD-WISE,South America,South America,1986
-96.68425888,16.75495764,0,13,2.0,MX-INEGI,Central America,Northern America,1985
-55.46666667,-34.8,0,30,0.1,WD-WISE,South America,South America,Unknown
135.734533,-33.20712001,10,40,0.4,AU-CSIRO,Australia and New Zealand,Oceania,1993
-122.717186,38.7882118,10,20,3.8,US-NCSS,Northern America,Northern America,1998
-97.3536682,36.5694275,0,2,0.7,US-NCSS,Northern America,Northern America,2011
-93.1991653,32.4252777,28,48,0.0,WD-WISE,Northern America,Northern America,1988
113.659842,-24.849918,10,40,58.0,AU-CSIRO,Australia and New Zealand,Oceania,1987
-113.4300232,41.7768593,10,25,9.8,US-NCSS,Northern America,Northern America,1982
-98.0203241,47.9197205,15,30,5.3,US-NCSS,Northern America,Northern America,1984
-116.8382073,32.17675482,18,40,1.0,MX-INEGI,Central America,Northern America,Unknown
-117.9780579,33.6944427,18,40,1.2,US-NCSS,Northern America,Northern America,1971
34.702222,-0.884722,20,40,0.1,WD-WISE,Eastern Africa,Africa,1975
-102.1821923,29.34785048,27,42,0.1,MX-INEGI,Central America,Northern America,2002
-120.952774,41.1388893,10,18,1.1,US-NCSS,Northern America,Northern America,1984
-46.1500015,-19.2833328,25,40,0.0,WD-WISE,South America,South America,1985
-99.74945646,21.60370741,0,27,1.0,MX-INEGI,Central America,Northern America,1984
-104.135231,34.1909294,0,5,1.5,US-NCSS,Northern America,Northern America,1982
-114.1452942,41.2502022,5,13,0.9,US-NCSS,Northern America,Northern America,1983
2.431944,13.549722,13,24,0.1,AF-AfSP,Western Africa,Africa,Unknown
-102.716883,22.38520569,11,12,2.0,MX-INEGI,Central America,Northern America,1970
-96.03613016,18.70490876,0,39,1.0,MX-INEGI,Central America,Northern America,Unknown
-111.1198349,36.1749458,20,38,17.5,US-NCSS,Northern America,Northern America,1999
-122.0241255,39.8034802,4,20,0.4,US-NCSS,Northern America,Northern America,1988
-111.9798022,26.23413057,15,35,4.6,MX-INEGI,Central America,Northern America,2005
-104.687946,29.96788378,0,20,2.0,MX-INEGI,Central America,Northern America,1983
-97.3432527,48.5319437,30,60,5.9,US-NCSS,Northern America,Northern America,2008
-98.4338226,28.5085564,0,10,1.3,US-NCSS,Northern America,Northern America,2011
-112.5586494,26.35602455,0,22,35.0,MX-INEGI,Central America,Northern America,Unknown
-103.4369431,30.4383335,13,28,0.5,US-NCSS,Northern America,Northern America,1992
-116.8730545,32.5699997,10,20,0.4,US-NCSS,Northern America,Northern America,1964
-95.42635451,18.51001776,20,42,1.0,MX-INEGI,Central America,Northern America,Unknown
-47.9833336,-15.9833336,10,30,0.0,WD-WISE,South America,South America,1985
-100.2413308,25.07619079,0,20,0.5,MX-INEGI,Central America,Northern America,2005
144.7771293,-21.3348252,0,5,0.3,AU-CSIRO,Australia and New Zealand,Oceania,2002
-103.692357,22.87330855,0,7,2.0,MX-INEGI,Central America,Northern America,1970
-103.7100268,20.92854124,15,50,0.0,MX-INEGI,Central America,Northern America,2002
-79.3649979,35.3800011,0,15,0.1,US-NCSS,Northern America,Northern America,1983
138.3432179,-33.53941789,10,20,0.4,AU-CSIRO,Australia and New Zealand,Oceania,1995
-103.6619415,34.3461113,10,33,1.3,US-NCSS,Northern America,Northern America,1990
-107.0344467,36.2413902,2,13,0.5,US-NCSS,Northern America,Northern America,1988
-101.7414951,21.98506559,16,37,2.0,MX-INEGI,Central America,Northern America,1971
-105.2678113,20.74237389,16,30,1.0,MX-INEGI,Central America,Northern America,Unknown
34.48333333,31.41666667,0,7,0.7,WD-WISE,Western Asia,Asia,1976
-89.0827789,38.6352768,0,18,0.7,US-NCSS,Northern America,Northern America,1985
-112.0139389,46.6429558,0,13,1.1,WD-WISE,Northern America,Northern America,1976
140.4934047,-36.59494264,15,28,0.2,AU-CSIRO,Australia and New Zealand,Oceania,1995
140.5901228,-34.23240476,10,25,0.3,AU-CSIRO,Australia and New Zealand,Oceania,2004
-97.83979107,19.56059037,30,60,1.0,MX-INEGI,Central America,Northern America,Unknown
-111.9051649,31.48074725,18,30,1.0,MX-INEGI,Central America,Northern America,Unknown
-110.9505997,48.4513016,28,41,0.4,US-NCSS,Northern America,Northern America,1988
128.988327,35.2669449,12,25,0.1,WD-WISE,Eastern Asia,Asia,1985
-8.183333333,53.41666667,0,10,0.1,WD-WISE,Northern Europe,Europe,1967
23.00861111,62.19583333,25,40,0.0,WD-WISE,Northern Europe,Europe,1968
-102.4823074,33.8186378,13,25,0.6,US-NCSS,Northern America,Northern America,1996
-111.2402802,42.2080574,0,8,1.5,US-NCSS,Northern America,Northern America,1991
-98.0301711,16.46768145,24,37,1.0,MX-INEGI,Central America,Northern America,1985
1.838056,13.635833,10,19,0.0,WD-WISE,Western Africa,Africa,Unknown
35.45,-4.62,0,10,4.3,SAF-SOTER,Eastern Africa,Africa,1985
-92.7269745,34.4706383,9,36,0.7,US-NCSS,Northern America,Northern America,1999
-100.3203832,23.73013959,0,21,2.0,MX-INEGI,Central America,Northern America,1992
140.3120655,-34.83426824,5,21,3.1,AU-CSIRO,Australia and New Zealand,Oceania,1999
138.0729843,-34.0179523,0,10,0.6,AU-CSIRO,Australia and New Zealand,Oceania,1996
-109.3837585,39.62552261,8,20,0.7,US-NCSS,Northern America,Northern America,1999
115.857275,-33.033689,0,10,1.4,AU-CSIRO,Australia and New Zealand,Oceania,1988
113.727893,-24.836507,0,20,38.0,AU-CSIRO,Australia and New Zealand,Oceania,1988
-118.6224213,43.2829323,11,18,4.2,US-NCSS,Northern America,Northern America,1993
113.15,28.2,25,50,0.2,WD-WISE,Eastern Asia,Asia,1983
-102.2797526,24.56487326,13,34,0.3,MX-INEGI,Central America,Northern America,2005
138.3284423,-33.21362457,10,22,0.4,AU-CSIRO,Australia and New Zealand,Oceania,1992
17.881667,-30.769722,10,15,0.1,WD-WISE,Southern Africa,Africa,1983
115.768066,-33.348562,0,10,4.1,AU-CSIRO,Australia and New Zealand,Oceania,1988
-99.40097481,16.6745705,0,31,1.0,MX-INEGI,Central America,Northern America,Unknown
1.735,13.1125,21,53,0.0,WD-WISE,Western Africa,Africa,Unknown
10.40999985,35.97999954,0,10,0.6,TN-SOTER,Northern Africa,Africa,1979
-109.905128,23.86106496,21,49,2.0,MX-INEGI,Central America,Northern America,1984
9.416667,4.283333,0,15,0.1,WD-WISE,Middle Africa,Africa,Unknown
